event,avgTweetLength_orig,numTweets_orig,credCount-2_ret,credCount-1_ret,credCount0_ret,credCount1_ret,credCount2_ret,P_ca_ret,Credibility_Class_Name_ret,Credibility_Class_Number_ret,cscw_predictor
chelsea_paris_three-20150219_131512-20150219_142250,14.70299609,2303,0,0,0,2,28,0.933333333,Perfect,1,3
liverpool_arsenal_goal-20141221_102623-20141221_112747,13.40181818,6050,1,0,0,4,25,0.833333333,High,2,1
year_city_liverpool-20141231_071741-20141231_081731,17.41324921,634,1,2,5,5,17,0.566666667,Low,4,2
brian_williams_did-20150205_094413-20150205_103554,16.95858499,1159,0,1,2,12,15,0.5,Low,4,2
costa_diego_after-20150130_062540-20150130_072848,16.65506237,3447,0,0,0,6,24,0.8,High,2,1
joshane_event_give-20141214_235644-20141215_010737,11.62649044,24741,0,1,9,10,10,0.333333333,Low,4,4
lambert_paul_villa-20150211_142604-20150211_155244,14.72609429,17203,0,0,1,4,25,0.833333333,High,2,1
senate_keystone_bill-20141118_182952-20141118_193038,14.41582825,12623,0,0,0,0,30,1,Perfect,1,4
ohio_state_alabama-20150101_211004-20150101_222556,15.26102552,46279,0,0,0,1,29,0.966666667,Perfect,1,1
scott_cancer_after-20150104_110633-20150104_120216,17.13248892,7895,0,0,0,4,26,0.866666667,High,2,1
killed_hostage_isis-20150206_144013-20150206_155447,14.52737848,12035,4,0,11,7,8,0.266666667,Low,4,4
cuba_obama_president-20141217_121252-20141217_133159,16.6190354,11694,0,0,0,2,28,0.933333333,Perfect,1,1
paris_police_breaking-20150109_091309-20150109_100150,15.78079534,4124,1,0,1,3,25,0.833333333,High,2,1
houston_team_bears-20141027_132933-20141027_145046,21.69164265,347,0,0,3,4,23,0.766666667,Moderate,3,2
giants_win_series-20141029_224319-20141029_234451,15.44090168,26972,0,0,0,0,30,1,Perfect,1,1
awards_golden_disk-20150115_082957-20150115_091955,13.50047354,48570,0,0,0,3,27,0.9,Perfect,1,2
birthday_king_martin-20150115_101528-20150115_104504-20150115_104544-20150115_105409-20150115_105707,13.68320336,16670,0,0,0,2,28,0.933333333,Perfect,1,1
brown_bobbi_kristina-20150202_102212-20150202_111337-20150202_120702,14.94034091,3168,0,0,1,3,26,0.866666667,High,2,3
golden_globes_#goldenglobes-20150112_035009-20150112_052517-20150112_064544,13.92678234,28067,0,0,1,4,25,0.833333333,High,2,1
bill_cosby_nbc-20141119_125739-20141119_141330,15.48224371,10447,0,0,1,6,23,0.766666667,Moderate,3,3
ravens_patriots_flacco-20150110_153142-20150110_165043,16.75198413,2520,0,0,1,2,27,0.9,Perfect,1,2
bowl_pro_odell-20150125_184901-20150125_184943-20150125_191609-20150125_201957,15.53850971,1597,0,0,0,0,30,1,Perfect,1,4
first_india_live-20150125_044227-20150125_055420,17.28652751,527,0,0,0,4,26,0.866666667,High,2,3
gay_tim_cook-20141030_110646-20141030_120557,15.7217442,6857,1,0,2,1,26,0.866666667,High,2,2
king_martin_luther-20150119_105337-20150119_115612,15.51234634,253071,0,0,0,0,30,1,Perfect,1,1
eagles_cowboys_game-20141127_152240-20141127_163439,14.70183486,7848,1,1,0,4,24,0.8,High,2,1
golden_awards_photo-20150114_073222-20150114_084351,13.1448532,33924,1,0,2,4,23,0.766666667,Moderate,3,2
#grammys_music_sheeran-20150208_204025-20150208_213235,16.32644628,242,0,0,3,6,21,0.7,Moderate,3,3
pardew_breaking_palace-20141229_103731-20141229_113938,15.39037433,187,1,0,0,10,19,0.633333333,Moderate,3,3
ball_catch_dez-20150111_144629-20150111_155923,20.42125094,3981,0,0,3,7,20,0.666666667,Moderate,3,2
championship_ohio_national-20150101_233743-20150102_004727,15.69406132,8773,0,0,0,1,29,0.966666667,Perfect,1,2
jones_jon_positive-20150106_175909-20150106_190400-20150106_194113-20150106_201528,14.35528121,6561,0,0,0,2,28,0.933333333,Perfect,1,1
pittsburgh_wow_game-20141022_191513-20141022_202740,15.45454545,55,0,2,1,3,24,0.8,High,2,3
henry_football_legend-20141216_035652-20141216_052328,14.83571429,2520,0,0,0,5,25,0.833333333,High,2,4
airasia_flight_bodies-20141230_090645-20141230_100648,14.71596386,9960,0,0,0,3,27,0.9,Perfect,1,3
stuart_night_scott-20150106_091105-20150106_100854,19.29989384,1884,1,0,1,0,28,0.933333333,Perfect,1,1
united_chelsea_van-20141026_122223-20141026_131853,16.35829435,23944,0,1,1,7,21,0.7,Moderate,3,2
ebola_west_obama-20141017_102419-20141017_112645-20141017_113249,15.99385325,5206,4,2,4,8,12,0.4,Low,4,3
sony_interview_north-20141217_201802-20141217_213918,16.87601753,7985,0,0,1,6,23,0.766666667,Moderate,3,3
