,e_1,e_2,e_3,e_4,e_5,e_6,e_7,e_8,e_9,e_10
0,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg
1,neg,pos,pos,neg,pos,pos,neg,neg,pos,neg
2,pos,pos,pos,neg,pos,neg,pos,pos,pos,pos
3,pos,pos,neg,neg,pos,neg,pos,pos,pos,pos
4,neg,pos,neg,neg,neg,pos,neg,neg,neg,neg
5,neg,pos,pos,pos,pos,pos,pos,neg,neg,pos
6,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg
7,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos
8,pos,pos,pos,pos,pos,pos,neg,pos,pos,pos
9,pos,pos,neg,pos,pos,neg,neg,neg,neg,neg
10,pos,pos,pos,neg,pos,pos,pos,neg,neg,neg
11,pos,pos,pos,neg,pos,neg,pos,pos,pos,neg
12,pos,pos,pos,pos,pos,neg,pos,pos,neg,pos
13,neg,pos,pos,pos,pos,pos,neg,pos,neg,neg
14,neg,pos,neg,pos,pos,pos,pos,pos,neg,pos
15,pos,pos,pos,pos,pos,pos,neg,pos,pos,pos
16,pos,neg,pos,neg,pos,pos,pos,pos,neg,pos
17,pos,pos,pos,pos,neg,pos,neg,neg,pos,pos
18,pos,pos,pos,pos,pos,neg,neg,pos,pos,pos
19,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg
20,pos,neg,pos,pos,pos,pos,pos,neg,pos,pos
21,pos,pos,pos,neg,pos,neg,pos,pos,neg,pos
22,pos,pos,pos,pos,pos,neg,neg,pos,pos,pos
23,pos,pos,neg,pos,pos,pos,neg,pos,pos,pos
24,pos,pos,pos,pos,neg,pos,pos,pos,pos,pos
25,pos,pos,pos,pos,pos,pos,neg,pos,pos,pos
26,neg,neg,neg,neg,neg,neg,neg,pos,neg,neg
27,pos,pos,pos,pos,pos,neg,pos,pos,pos,pos
28,neg,neg,neg,neg,neg,neg,pos,neg,neg,neg
29,pos,pos,pos,pos,pos,pos,pos,pos,neg,pos
30,pos,neg,pos,neg,pos,pos,pos,neg,pos,pos
31,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg
32,pos,neg,neg,neg,neg,neg,neg,neg,neg,neg
33,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos
34,pos,pos,neg,pos,pos,neg,neg,pos,pos,pos
35,pos,pos,pos,neg,neg,pos,pos,pos,pos,pos
36,pos,pos,pos,pos,neg,pos,pos,pos,pos,pos
37,neg,pos,pos,pos,neg,pos,pos,pos,neg,pos
38,pos,pos,pos,pos,pos,neg,pos,neg,pos,pos
39,neg,neg,neg,neg,pos,pos,neg,neg,pos,neg
40,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg
41,pos,neg,pos,pos,neg,pos,neg,pos,pos,pos
42,pos,neg,pos,neg,pos,pos,pos,pos,pos,pos
43,neg,pos,pos,pos,pos,neg,pos,neg,pos,pos
44,pos,neg,pos,pos,pos,pos,pos,pos,pos,pos
45,pos,pos,pos,neg,pos,pos,neg,pos,neg,pos
46,neg,pos,pos,pos,pos,pos,pos,pos,pos,neg
47,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg
48,pos,pos,neg,neg,pos,neg,pos,pos,neg,pos
49,pos,neg,pos,neg,pos,neg,pos,pos,pos,pos
